step,time_hours,predicted_class,confidence,alternatives,true_class,correct
0,0.0,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",0,True
1,0.05,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",0,True
2,0.1000000000000003,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",0,True
3,0.1499999999999994,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",0,False
4,0.1999999999999972,8,0.578118622303009,"[(8, 0.578118622303009), (0, 0.36730045080184937), (20, 0.030365271493792534)]",0,False
5,0.249999999999995,0,0.6646637320518494,"[(0, 0.6646637320518494), (8, 0.2696358263492584), (20, 0.030735861510038376)]",0,True
6,0.2999999999999929,8,0.4415205419063568,"[(8, 0.4415205419063568), (0, 0.2397768646478653), (20, 0.13130679726600647)]",0,False
7,0.3499999999999907,8,0.6143129467964172,"[(8, 0.6143129467964172), (0, 0.2338041514158249), (19, 0.044482216238975525)]",0,False
8,0.3999999999999885,5,0.9016605615615845,"[(5, 0.9016605615615845), (8, 0.0664137676358223), (0, 0.018555304035544395)]",0,False
9,0.4499999999999863,5,0.9187378883361816,"[(5, 0.9187378883361816), (8, 0.027952004224061966), (0, 0.019270027056336403)]",0,False
10,0.4999999999999842,8,0.4036967158317566,"[(8, 0.4036967158317566), (0, 0.20586001873016357), (11, 0.15996085107326508)]",0,False
11,0.5499999999999919,8,0.9311626553535461,"[(8, 0.9311626553535461), (0, 0.04802170768380165), (13, 0.006141375750303268)]",0,False
12,0.5999999999999998,8,0.9319489002227783,"[(8, 0.9319489002227783), (20, 0.027015766128897667), (0, 0.026035115122795105)]",0,False
13,0.6500000000000076,8,0.7347608804702759,"[(8, 0.7347608804702759), (0, 0.16665098071098328), (12, 0.018222397193312645)]",0,False
14,0.7000000000000154,8,0.8373460173606873,"[(8, 0.8373460173606873), (0, 0.09049104154109955), (18, 0.023187758401036263)]",0,False
15,0.7500000000000232,0,0.3279397487640381,"[(0, 0.3279397487640381), (20, 0.23363225162029266), (8, 0.22090493142604828)]",0,True
16,0.800000000000031,8,0.6426502466201782,"[(8, 0.6426502466201782), (0, 0.23254556953907013), (18, 0.030346672981977463)]",0,False
17,0.8500000000000388,8,0.8952544927597046,"[(8, 0.8952544927597046), (0, 0.04627268761396408), (17, 0.012703240849077702)]",0,False
18,0.9000000000000467,8,0.5861530303955078,"[(8, 0.5861530303955078), (20, 0.1426345407962799), (0, 0.13737726211547852)]",0,False
19,0.9500000000000544,19,0.6038658022880554,"[(19, 0.6038658022880554), (8, 0.29291242361068726), (0, 0.07438503950834274)]",0,False
20,1.0000000000000622,8,0.624824047088623,"[(8, 0.624824047088623), (0, 0.23022204637527466), (19, 0.0415303036570549)]",0,False
21,1.05000000000007,8,0.5471636652946472,"[(8, 0.5471636652946472), (0, 0.3511820137500763), (18, 0.021092191338539124)]",0,False
22,1.1000000000000778,8,0.26989123225212097,"[(8, 0.26989123225212097), (0, 0.24297791719436646), (5, 0.19444778561592102)]",0,False
23,1.1500000000000856,5,0.9988133907318115,"[(5, 0.9988133907318115), (8, 0.0006845343159511685), (0, 0.00022561149671673775)]",0,False
24,1.2000000000000934,8,0.551307201385498,"[(8, 0.551307201385498), (0, 0.3385586738586426), (11, 0.023707853630185127)]",0,False
25,1.2500000000001013,0,0.6820159554481506,"[(0, 0.6820159554481506), (10, 0.08187595009803772), (16, 0.07577595114707947)]",0,True
26,1.300000000000109,0,0.5373918414115906,"[(0, 0.5373918414115906), (12, 0.11321449279785156), (13, 0.07851359248161316)]",0,True
27,1.3500000000001169,0,0.3025170564651489,"[(0, 0.3025170564651489), (11, 0.28993070125579834), (8, 0.14036740362644196)]",0,True
28,1.4000000000001247,0,0.3629440367221832,"[(0, 0.3629440367221832), (20, 0.213293194770813), (2, 0.13414974510669708)]",0,True
29,1.4500000000001323,0,0.35060906410217285,"[(0, 0.35060906410217285), (18, 0.15916681289672852), (8, 0.10536732524633408)]",0,True
30,1.5000000000001403,2,0.31661924719810486,"[(2, 0.31661924719810486), (0, 0.26253342628479004), (20, 0.12824083864688873)]",0,False
31,1.550000000000148,2,0.731415867805481,"[(2, 0.731415867805481), (8, 0.16744950413703918), (0, 0.07713261991739273)]",0,False
32,1.600000000000156,2,0.5774654746055603,"[(2, 0.5774654746055603), (8, 0.21438851952552795), (0, 0.10967947542667389)]",0,False
33,1.6500000000001638,0,0.6098736524581909,"[(0, 0.6098736524581909), (13, 0.069229856133461), (10, 0.0669247955083847)]",0,True
34,1.7000000000001716,0,0.6366305351257324,"[(0, 0.6366305351257324), (13, 0.0647115409374237), (16, 0.05641154572367668)]",0,True
35,1.7500000000001794,0,0.45465725660324097,"[(0, 0.45465725660324097), (2, 0.1300756186246872), (10, 0.1095690056681633)]",0,True
36,1.8000000000001872,0,0.4028021991252899,"[(0, 0.4028021991252899), (11, 0.2434295415878296), (8, 0.18033228814601898)]",0,True
37,1.850000000000195,5,0.934672474861145,"[(5, 0.934672474861145), (18, 0.02096855826675892), (0, 0.018273850902915)]",0,False
38,1.9000000000002029,0,0.2913142144680023,"[(0, 0.2913142144680023), (18, 0.1095704585313797), (8, 0.10147716850042343)]",0,True
39,1.950000000000211,0,0.32395514845848083,"[(0, 0.32395514845848083), (8, 0.2592463493347168), (19, 0.11629703640937805)]",0,True
40,2.0000000000002185,0,0.45840200781822205,"[(0, 0.45840200781822205), (8, 0.20659872889518738), (19, 0.15746034681797028)]",0,True
41,2.0,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",1,False
42,2.05,0,0.5229646563529968,"[(0, 0.5229646563529968), (8, 0.292820006608963), (12, 0.15787343680858612)]",1,False
43,2.1000000000000005,8,0.5412477850914001,"[(8, 0.5412477850914001), (0, 0.3875328004360199), (1, 0.04033692553639412)]",1,False
44,2.1499999999999995,8,0.5686610341072083,"[(8, 0.5686610341072083), (1, 0.42299380898475647), (0, 0.004000562708824873)]",1,False
45,2.199999999999997,8,0.5731215476989746,"[(8, 0.5731215476989746), (1, 0.42240557074546814), (20, 0.0035651959478855133)]",1,False
46,2.249999999999995,1,0.7090891003608704,"[(1, 0.7090891003608704), (8, 0.2890985906124115), (13, 0.0013041620841249824)]",1,True
47,2.2999999999999927,8,0.7975428700447083,"[(8, 0.7975428700447083), (1, 0.20000571012496948), (13, 0.0018767711007967591)]",1,False
48,2.3499999999999908,8,0.9678559899330139,"[(8, 0.9678559899330139), (1, 0.031735967844724655), (13, 0.00039198255399242043)]",1,False
49,2.3999999999999884,8,0.7662104368209839,"[(8, 0.7662104368209839), (1, 0.23030614852905273), (5, 0.0024445499293506145)]",1,False
50,2.4499999999999864,1,0.8516947031021118,"[(1, 0.8516947031021118), (8, 0.1466473788022995), (5, 0.001539219287224114)]",1,True
51,2.499999999999984,1,0.9416913390159607,"[(1, 0.9416913390159607), (8, 0.05823009833693504), (13, 3.976541120209731e-05)]",1,True
52,2.5,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",0,True
53,2.55,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",0,True
54,2.6000000000000005,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",0,True
55,2.6499999999999995,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",0,False
56,2.699999999999997,8,0.578118622303009,"[(8, 0.578118622303009), (0, 0.36730045080184937), (20, 0.030365271493792534)]",0,False
57,2.749999999999995,0,0.6646637320518494,"[(0, 0.6646637320518494), (8, 0.2696358263492584), (20, 0.030735861510038376)]",0,True
58,2.7999999999999927,8,0.4415205419063568,"[(8, 0.4415205419063568), (0, 0.2397768646478653), (20, 0.13130679726600647)]",0,False
59,2.8499999999999908,8,0.6143129467964172,"[(8, 0.6143129467964172), (0, 0.2338041514158249), (19, 0.044482216238975525)]",0,False
60,2.8999999999999884,5,0.9016605615615845,"[(5, 0.9016605615615845), (8, 0.0664137676358223), (0, 0.018555304035544395)]",0,False
61,2.9499999999999864,5,0.9187378883361816,"[(5, 0.9187378883361816), (8, 0.027952004224061966), (0, 0.019270027056336403)]",0,False
62,2.999999999999984,8,0.4036967158317566,"[(8, 0.4036967158317566), (0, 0.20586001873016357), (11, 0.15996085107326508)]",0,False
63,3.0,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",2,False
64,3.05,0,0.6133454442024231,"[(0, 0.6133454442024231), (8, 0.25481152534484863), (12, 0.11219903081655502)]",2,False
65,3.1000000000000005,0,0.6113211512565613,"[(0, 0.6113211512565613), (8, 0.3534265458583832), (13, 0.008357597514986992)]",2,False
66,3.1499999999999995,8,0.6237953305244446,"[(8, 0.6237953305244446), (0, 0.32104912400245667), (20, 0.027900226414203644)]",2,False
67,3.199999999999997,8,0.5894613265991211,"[(8, 0.5894613265991211), (0, 0.348378449678421), (20, 0.03701188415288925)]",2,False
68,3.249999999999995,0,0.7503584027290344,"[(0, 0.7503584027290344), (8, 0.18239523470401764), (20, 0.024041075259447098)]",2,False
69,3.2999999999999927,0,0.3482374846935272,"[(0, 0.3482374846935272), (8, 0.3256908655166626), (20, 0.1456180065870285)]",2,False
70,3.3499999999999908,8,0.6587039232254028,"[(8, 0.6587039232254028), (0, 0.16451504826545715), (19, 0.07442935556173325)]",2,False
71,3.3999999999999884,5,0.8703044652938843,"[(5, 0.8703044652938843), (8, 0.0668812245130539), (0, 0.02389412373304367)]",2,False
72,3.4499999999999864,2,0.7088338732719421,"[(2, 0.7088338732719421), (5, 0.26682305335998535), (8, 0.006530008278787136)]",2,True
73,3.499999999999984,2,0.9683617353439331,"[(2, 0.9683617353439331), (8, 0.012399356812238693), (13, 0.009072527289390564)]",2,True
74,3.5,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",0,True
75,3.55,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",0,True
76,3.6000000000000005,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",0,True
77,3.65,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",0,False
78,3.699999999999997,8,0.578118622303009,"[(8, 0.578118622303009), (0, 0.36730045080184937), (20, 0.030365271493792534)]",0,False
79,3.749999999999995,0,0.6646637320518494,"[(0, 0.6646637320518494), (8, 0.2696358263492584), (20, 0.030735861510038376)]",0,True
80,3.7999999999999927,8,0.4415205419063568,"[(8, 0.4415205419063568), (0, 0.2397768646478653), (20, 0.13130679726600647)]",0,False
81,3.849999999999991,8,0.6143129467964172,"[(8, 0.6143129467964172), (0, 0.2338041514158249), (19, 0.044482216238975525)]",0,False
82,3.899999999999989,5,0.9016605615615845,"[(5, 0.9016605615615845), (8, 0.0664137676358223), (0, 0.018555304035544395)]",0,False
83,3.9499999999999855,5,0.9187378883361816,"[(5, 0.9187378883361816), (8, 0.027952004224061966), (0, 0.019270027056336403)]",0,False
84,3.999999999999984,8,0.4036967158317566,"[(8, 0.4036967158317566), (0, 0.20586001873016357), (11, 0.15996085107326508)]",0,False
85,4.0,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",5,False
86,4.05,12,0.9125813245773315,"[(12, 0.9125813245773315), (5, 0.057849276810884476), (8, 0.020427729934453964)]",5,False
87,4.1000000000000005,5,0.9659139513969421,"[(5, 0.9659139513969421), (12, 0.03332424908876419), (8, 0.0006778411334380507)]",5,True
88,4.15,12,0.8964636921882629,"[(12, 0.8964636921882629), (5, 0.10252176970243454), (8, 0.0009510738309472799)]",5,False
89,4.1999999999999975,5,0.6761705875396729,"[(5, 0.6761705875396729), (12, 0.3223794996738434), (8, 0.0013738501584157348)]",5,True
90,4.249999999999995,5,0.49076005816459656,"[(5, 0.49076005816459656), (12, 0.356901079416275), (8, 0.14761386811733246)]",5,True
91,4.299999999999993,5,0.9860973358154297,"[(5, 0.9860973358154297), (12, 0.012536229565739632), (8, 0.0012375899823382497)]",5,True
92,4.349999999999991,5,0.524269163608551,"[(5, 0.524269163608551), (8, 0.44572335481643677), (12, 0.02121875248849392)]",5,True
93,4.399999999999989,5,0.9983909130096436,"[(5, 0.9983909130096436), (8, 0.0010261352872475982), (12, 0.000573981087654829)]",5,True
94,4.449999999999986,5,0.997859537601471,"[(5, 0.997859537601471), (12, 0.0019956750329583883), (8, 0.0001221091515617445)]",5,True
95,4.499999999999984,5,0.9890674948692322,"[(5, 0.9890674948692322), (12, 0.006637017708271742), (8, 0.0038092618342489004)]",5,True
96,4.5,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",0,True
97,4.55,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",0,True
98,4.6000000000000005,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",0,True
99,4.65,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",0,False
100,4.6999999999999975,8,0.578118622303009,"[(8, 0.578118622303009), (0, 0.36730045080184937), (20, 0.030365271493792534)]",0,False
101,4.749999999999995,0,0.6646637320518494,"[(0, 0.6646637320518494), (8, 0.2696358263492584), (20, 0.030735861510038376)]",0,True
102,4.799999999999993,8,0.4415205419063568,"[(8, 0.4415205419063568), (0, 0.2397768646478653), (20, 0.13130679726600647)]",0,False
103,4.849999999999991,8,0.6143129467964172,"[(8, 0.6143129467964172), (0, 0.2338041514158249), (19, 0.044482216238975525)]",0,False
104,4.899999999999989,5,0.9016605615615845,"[(5, 0.9016605615615845), (8, 0.0664137676358223), (0, 0.018555304035544395)]",0,False
105,4.949999999999986,5,0.9187378883361816,"[(5, 0.9187378883361816), (8, 0.027952004224061966), (0, 0.019270027056336403)]",0,False
106,4.999999999999984,8,0.4036967158317566,"[(8, 0.4036967158317566), (0, 0.20586001873016357), (11, 0.15996085107326508)]",0,False
107,5.0,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",10,False
108,5.05,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",10,False
109,5.1000000000000005,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",10,False
110,5.15,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",10,False
111,5.1999999999999975,8,0.5781248807907104,"[(8, 0.5781248807907104), (0, 0.36730438470840454), (20, 0.0303655993193388)]",10,False
112,5.249999999999995,0,0.6846445202827454,"[(0, 0.6846445202827454), (8, 0.2485152631998062), (20, 0.030645906925201416)]",10,False
113,5.299999999999993,8,0.46378785371780396,"[(8, 0.46378785371780396), (0, 0.23161715269088745), (20, 0.12583979964256287)]",10,False
114,5.349999999999991,8,0.6619164347648621,"[(8, 0.6619164347648621), (0, 0.20589374005794525), (19, 0.03863053023815155)]",10,False
115,5.399999999999989,5,0.90523362159729,"[(5, 0.90523362159729), (8, 0.06489546597003937), (0, 0.017002331092953682)]",10,False
116,5.449999999999986,5,0.9293710589408875,"[(5, 0.9293710589408875), (8, 0.024355007335543633), (0, 0.018645456060767174)]",10,False
117,5.499999999999984,8,0.373803973197937,"[(8, 0.373803973197937), (0, 0.20955084264278412), (11, 0.18092866241931915)]",10,False
118,5.5,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",0,True
119,5.55,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",0,True
120,5.6000000000000005,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",0,True
121,5.65,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",0,False
122,5.6999999999999975,8,0.578118622303009,"[(8, 0.578118622303009), (0, 0.36730045080184937), (20, 0.030365271493792534)]",0,False
123,5.749999999999995,0,0.6646637320518494,"[(0, 0.6646637320518494), (8, 0.2696358263492584), (20, 0.030735861510038376)]",0,True
124,5.799999999999993,8,0.4415205419063568,"[(8, 0.4415205419063568), (0, 0.2397768646478653), (20, 0.13130679726600647)]",0,False
125,5.849999999999991,8,0.6143129467964172,"[(8, 0.6143129467964172), (0, 0.2338041514158249), (19, 0.044482216238975525)]",0,False
126,5.899999999999989,5,0.9016605615615845,"[(5, 0.9016605615615845), (8, 0.0664137676358223), (0, 0.018555304035544395)]",0,False
127,5.949999999999986,5,0.9187378883361816,"[(5, 0.9187378883361816), (8, 0.027952004224061966), (0, 0.019270027056336403)]",0,False
128,5.999999999999984,8,0.4036967158317566,"[(8, 0.4036967158317566), (0, 0.20586001873016357), (11, 0.15996085107326508)]",0,False
129,6.0,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",17,False
130,6.05,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",17,False
131,6.1000000000000005,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",17,False
132,6.15,8,0.6521599292755127,"[(8, 0.6521599292755127), (0, 0.29669588804244995), (20, 0.026706552132964134)]",17,False
133,6.1999999999999975,8,0.5781240463256836,"[(8, 0.5781240463256836), (0, 0.36730387806892395), (20, 0.030365556478500366)]",17,False
134,6.249999999999995,0,0.6631249785423279,"[(0, 0.6631249785423279), (8, 0.26901158690452576), (20, 0.029764531180262566)]",17,False
135,6.299999999999993,8,0.4855020344257355,"[(8, 0.4855020344257355), (0, 0.2172379493713379), (13, 0.11081425100564957)]",17,False
136,6.349999999999991,8,0.5953941941261292,"[(8, 0.5953941941261292), (0, 0.24121667444705963), (19, 0.04501006007194519)]",17,False
137,6.399999999999989,5,0.9022616147994995,"[(5, 0.9022616147994995), (8, 0.06475751847028732), (0, 0.01762859709560871)]",17,False
138,6.449999999999986,5,0.9021047353744507,"[(5, 0.9021047353744507), (8, 0.03756297752261162), (0, 0.02039211615920067)]",17,False
139,6.499999999999984,8,0.33417370915412903,"[(8, 0.33417370915412903), (0, 0.22323599457740784), (13, 0.16828517615795135)]",17,False
140,6.5,0,0.9232861995697021,"[(0, 0.9232861995697021), (20, 0.011684036813676357), (18, 0.010946673341095448)]",0,True
141,6.55,0,0.55487060546875,"[(0, 0.55487060546875), (8, 0.2921890616416931), (12, 0.1284331977367401)]",0,True
142,6.6000000000000005,0,0.5491592288017273,"[(0, 0.5491592288017273), (8, 0.4182286560535431), (13, 0.008141742087900639)]",0,True
143,6.65,8,0.6521302461624146,"[(8, 0.6521302461624146), (0, 0.29668235778808594), (20, 0.026705335825681686)]",0,False
144,6.6999999999999975,8,0.578118622303009,"[(8, 0.578118622303009), (0, 0.36730045080184937), (20, 0.030365271493792534)]",0,False
145,6.749999999999995,0,0.6646637320518494,"[(0, 0.6646637320518494), (8, 0.2696358263492584), (20, 0.030735861510038376)]",0,True
146,6.799999999999993,8,0.4415205419063568,"[(8, 0.4415205419063568), (0, 0.2397768646478653), (20, 0.13130679726600647)]",0,False
147,6.849999999999991,8,0.6143129467964172,"[(8, 0.6143129467964172), (0, 0.2338041514158249), (19, 0.044482216238975525)]",0,False
148,6.899999999999989,5,0.9016605615615845,"[(5, 0.9016605615615845), (8, 0.0664137676358223), (0, 0.018555304035544395)]",0,False
149,6.949999999999986,5,0.9187378883361816,"[(5, 0.9187378883361816), (8, 0.027952004224061966), (0, 0.019270027056336403)]",0,False
150,6.999999999999984,8,0.4036967158317566,"[(8, 0.4036967158317566), (0, 0.20586001873016357), (11, 0.15996085107326508)]",0,False
